GIMHABOG,,
,,
Nombre del computadora:,GIMHABOG,
Nombre de marca de computadora:,MSI MS-7D25,
Sistema operativo:,Microsoft Windows 11 Enterprise (x64) Build 26100.1742 (24H2),
Arranque UEFI:,Presente,
Arranque seguro:,Activado,
Integridad de código protegido por hipervisor (HVCI):,Deshabilitado,
Advertencia de máquina virtual:,Microsoft Hyper-V está activo. ¡Es posible que algunos resultados no reflejen el hardware real!,
,,
Procesador(es) central,,
,,
Número de paquetes de procesador (físicos):,1,
Número de núcleos de procesador:,12,
Número de procesadores lógicos:,20,
,,
Intel Core i7-12700F,,
,,
Nombre del procesador:,Intel Core i7-12700F,
Frecuencia del procesador original:,2100.0 MHz,
Original Processor Frequency [MHz]:,2100,
CPU ID:,00090672,
Nombre de la marca de la CPU:,12th Gen Intel(R) Core(TM) i7-12700F,
Proveedor de CPU:,GenuineIntel,
Pasos de CPU:,C0,
Nombre del código de la CPU:,Alder Lake-S 840,
Tecnología de CPU:,Intel 7,
CPU S-Spec:,SRL4R,
Potencia de diseño térmico de CPU (TDP):,65.0 W,
Límites de potencia de la CPU (máx.):,"Potencia = Ilimitado, Hora = Ilimitado",
Límite de potencia de CPU PL1 (larga duración) / Potencia base del procesador (PBP):,"Potencia = 65.00 W, Hora = 28.00 sec [Desbloqueado]",
Límite de potencia de CPU PL2 (duración corta) / Potencia turbo máxima (MTP):,"Potencia = 202.00 W, Hora = 2.44 ms [Desbloqueado]",
"CPU Max. Temperatura de unión (Tj, máx.):",100 °C,
Tipo de CPU:,Unidad de producción,
Plataforma CPU:,Socket V (LGA1700),
Revisión de actualización de microcódigo:,28,
Número de núcleos de CPU:,"8 x Performance, 4 x Efficient",
Número de CPU lógicas:,"16 x Performance, 4 x Efficient",
CPU LFM (mínimo):,800.0 MHz = 8 x 100.0 MHz,
CPU HFM (base):,2100.0 MHz = 21 x 100.0 MHz,
CPU Turbo Max:,4900.0 MHz = 49 x 100.0 MHz [Unlocked],
Límites del relación turbo (P-cores) - IA/SSE:,"49x (1c), 48x (2c), 47x (3-4c), 46x (5-6c), 45x (7-8c)",
Límites del relación turbo (E-cores):,"36x (1-2c), 34x (3-8c)",
"Límites del relación turbo - AVX2, Resultante:","49x (1c), 48x (2c), 47x (3-4c), 46x (5-6c), 45x (7-8c)",
Límites máximos de relación por núcleo (fusionados):,"48, 48, 48, 48, 49, 49, 48, 48, 36, 36, 36, 36",
Límites máximos de relación por núcleo (actual):,"48, 48, 48, 48, 49, 49, 48, 48, 36, 36, 36, 36",
CPU actual:,4588.8 MHz = 46 x 99.8 MHz @ 1.1766 V,
LLC / Ring máximo:,4500.0 MHz = 45.00 x 100.0 MHz,
LLC / Ring actual:,4189.8 MHz = 42.00 x 99.8 MHz,
Tipo de bus de CPU:,Intel Direct Media Interface (DMI) v4.0,
Velocidad máxima de enlace DMI:,16.0 GT/s,
Velocidad actual del enlace DMI:,16.0 GT/s,
Compensación de voltaje:,No soportado,
Anulación de voltaje:,No soportado,
Relación de overclocking:,No soportado,
Límite de relación de fusión:,49x,
Límite de relación OC:,N/A,
Modo de voltaje:,Interpolativo,
Voltage Offset (Global):,0 mV,
IccMax:,220.00 A,
Compensación de voltaje:,No soportado,
Anulación de voltaje:,No soportado,
Relación de overclocking:,No soportado,
Límite de relación de fusión:,N/A,
Límite de relación OC:,N/A,
Modo de voltaje:,Interpolativo,
Voltage Offset (Global):,0 mV,
IccMax:,30.00 A,
Compensación de voltaje:,No soportado,
Anulación de voltaje:,No soportado,
Relación de overclocking:,No soportado,
Límite de relación de fusión:,45x,
Límite de relación OC:,N/A,
Modo de voltaje:,Interpolativo,
Voltage Offset (Global):,0 mV,
Compensación de voltaje:,No soportado,
Anulación de voltaje:,No soportado,
Relación de overclocking:,No soportado,
Límite de relación de fusión:,N/A,
Límite de relación OC:,N/A,
Modo de voltaje:,Interpolativo,
Voltage Offset (Global):,0 mV,
Compensación de voltaje:,No soportado,
Anulación de voltaje:,No soportado,
Relación de overclocking:,No soportado,
Límite de relación de fusión:,N/A,
Límite de relación OC:,N/A,
Modo de voltaje:,Interpolativo,
Voltage Offset (Global):,0 mV,
Compensación de voltaje:,No soportado,
Anulación de voltaje:,No soportado,
Relación de overclocking:,No soportado,
Límite de relación de fusión:,N/A,
Límite de relación OC:,N/A,
Modo de voltaje:,Interpolativo,
Voltage Offset (Global):,0 mV,
IA Domain Loadline (AC/DC):,0.800 / 0.800 mOhm,
GT Domain Loadline (AC/DC):,3.400 / 3.400 mOhm,
Caché L1 (P-cores):,"Instruction: 8 x 32 KBytes, Data: 8 x 48 KBytes",
